date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2012-03-15,Maize - Wholesale,100 KG,cereals and tubers,103.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-04-15,Maize - Wholesale,100 KG,cereals and tubers,101.25,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-05-15,Maize - Wholesale,100 KG,cereals and tubers,122.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-06-15,Maize - Wholesale,100 KG,cereals and tubers,131.2,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-07-15,Maize - Wholesale,100 KG,cereals and tubers,120.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-08-15,Maize - Wholesale,100 KG,cereals and tubers,110.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-09-15,Maize - Wholesale,100 KG,cereals and tubers,86.25,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-10-15,Maize - Wholesale,100 KG,cereals and tubers,70.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-11-15,Maize - Wholesale,100 KG,cereals and tubers,77.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2012-12-15,Maize - Wholesale,100 KG,cereals and tubers,78.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-01-15,Maize - Wholesale,100 KG,cereals and tubers,78.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-02-15,Maize - Wholesale,100 KG,cereals and tubers,78.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-03-15,Maize - Wholesale,100 KG,cereals and tubers,78.25,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-04-15,Maize - Wholesale,100 KG,cereals and tubers,81.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-05-15,Maize - Wholesale,100 KG,cereals and tubers,83.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-06-15,Maize - Wholesale,100 KG,cereals and tubers,76.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-07-15,Maize - Wholesale,100 KG,cereals and tubers,73.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-08-15,Maize - Wholesale,100 KG,cereals and tubers,79.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-09-15,Maize - Wholesale,100 KG,cereals and tubers,71.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-10-15,Maize - Wholesale,100 KG,cereals and tubers,70.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-11-15,Maize - Wholesale,100 KG,cereals and tubers,74.25,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2013-12-15,Maize - Wholesale,100 KG,cereals and tubers,78.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-01-15,Maize - Wholesale,100 KG,cereals and tubers,88.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-02-15,Maize - Wholesale,100 KG,cereals and tubers,95.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-03-15,Maize - Wholesale,100 KG,cereals and tubers,96.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-04-15,Maize - Wholesale,100 KG,cereals and tubers,95.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-05-15,Maize - Wholesale,100 KG,cereals and tubers,102.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-06-15,Maize - Wholesale,100 KG,cereals and tubers,108.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-07-15,Maize - Wholesale,100 KG,cereals and tubers,108.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-08-15,Maize - Wholesale,100 KG,cereals and tubers,140.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-09-15,Maize - Wholesale,100 KG,cereals and tubers,136.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-10-15,Maize - Wholesale,100 KG,cereals and tubers,136.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-11-15,Maize - Wholesale,100 KG,cereals and tubers,126.25,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-12-15,Maize - Wholesale,100 KG,cereals and tubers,125.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-01-15,Maize - Wholesale,100 KG,cereals and tubers,125.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
